symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
OCEANUSD,-0.00540000,-1.631,0.32080553,0.32050000,0.32570000,172.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.33110000,0.33640000,0.30480000,4266.00000000,1368.55640000,1687750415382,1687836815382,110655,110680,26
LAZIOUSD,-0.21220000,-10.094,1.96726364,1.87010000,1.89010000,1.26000000,0.00000000,0.00000000,0.00000000,0.00000000,2.10230000,2.10230000,1.89010000,1.98000000,3.89518200,1687750257944,1687836657944,94600,94601,2
SANTOSUSD,0.05000000,1.639,3.08333333,3.05000000,3.10000000,0.24000000,0.00000000,0.00000000,0.00000000,0.00000000,3.05000000,3.10000000,3.05000000,0.36000000,1.11000000,1687750292563,1687836692563,209039,209040,2
ALPINEUSD,0.50000000,25.000,2.02154975,2.00000000,2.50000000,0.94000000,0.00000000,0.00000000,0.00000000,0.00000000,2.00000000,2.50000000,2.00000000,21.81000000,44.09000000,1687750282345,1687836682345,47244,47246,3
PORTOUSD,-0.02680000,-1.514,1.74450784,1.99990000,1.74290000,32.12000000,0.00000000,0.00000000,0.00000000,0.00000000,1.76970000,1.76970000,1.74290000,34.17000000,59.60983300,1687750235654,1687836635654,60722,60723,2
RENUSD,-0.00090100,-1.472,0.06032705,0.06120000,0.06029900,498.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.06120000,0.06120000,0.06029900,514.00000000,31.00810200,1687750394789,1687836794789,62746,62747,2
CELRUSD,-0.00016000,-0.975,0.01643933,0.01641000,0.01625000,144.70000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01641000,0.01666000,0.01611000,24132.50000000,396.72223000,1687750274241,1687836674241,54465,54494,30
SKLUSD,0.00243000,9.658,0.02791436,0.02635000,0.02759000,663.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02516000,0.03105000,0.02516000,113259.00000000,3161.55286000,1687750335417,1687836735417,58111,58184,74
VITEUSD,0.00000000,0.000,0.00000000,0.01280000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1687750270186,1687836670186,-1,-1,0
WAXPUSD,-0.00030000,-0.636,0.04784937,0.04710000,0.04690000,1136.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04720000,0.04890000,0.04690000,72259.00000000,3457.54730000,1687750314975,1687836714975,96499,96559,61
LTOUSD,0.00000000,0.000,0.00000000,0.05950000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1687750249819,1687836649819,-1,-1,0
FETUSD,0.00020000,0.093,0.21440583,0.21660000,0.21530000,42.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.21510000,0.22570000,0.20670000,81119.00000000,17392.38620000,1687750488210,1687836888210,485069,485252,184
BONDUSD,-0.00300000,-0.093,3.23627133,3.24100000,3.23500000,14.65000000,0.00000000,0.00000000,0.00000000,0.00000000,3.23800000,3.23800000,3.23500000,88.38000000,286.02166000,1687750327195,1687836727195,604642,604653,12
LOKAUSD,-0.00020000,-0.111,0.21769947,0.18010000,0.18020000,30.90000000,0.00000000,0.00000000,0.00000000,0.00000000,0.18040000,0.22500000,0.18020000,1044.90000000,227.47418000,1687750262044,1687836662044,57967,57969,3
ICPUSD,-0.06800000,-1.639,4.21589707,4.15000000,4.08200000,6.29000000,0.00000000,0.00000000,0.00000000,0.00000000,4.15000000,4.28100000,4.08200000,265.12000000,1117.71863000,1687750425630,1687836825630,125719,125762,44
TUSD,-0.00010000,-0.448,0.02221922,0.02200000,0.02220000,10563.60000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02230000,0.02230000,0.02220000,13076.30000000,290.54513000,1687750316997,1687836716997,41400,41404,5
OPUSD,-0.01800000,-1.398,1.27384612,1.26100000,1.27000000,4.87000000,0.00000000,0.00000000,0.00000000,0.00000000,1.28800000,1.44000000,1.20100000,3602.72000000,4589.31089000,1687750490284,1687836890284,414777,414883,107
ROSEUSD,0.00466000,10.713,0.04582641,0.04669000,0.04816000,3753.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04350000,0.05005000,0.03744000,22548.10000000,1033.29848000,1687750419451,1687836819451,127208,127239,32
CELOUSD,0.00000000,0.000,0.52000000,0.52000000,0.52000000,10.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.52000000,0.52000000,0.52000000,10.00000000,5.20000000,1687750259976,1687836659976,28551,28551,1
KDAUSD,-0.01000000,-1.631,0.62399167,0.61200000,0.60300000,13.93000000,0.00000000,0.00000000,0.00000000,0.00000000,0.61300000,0.63600000,0.60300000,11079.86000000,6913.74036000,1687750439910,1687836839910,161341,161399,59
KSMUSD,-2.18000000,-8.720,24.39296059,25.01000000,22.82000000,1.01200000,0.00000000,0.00000000,0.00000000,0.00000000,25.00000000,25.00000000,22.82000000,30.75400000,750.18111000,1687750304750,1687836704750,30193,30207,15
ACHUSD,-0.00021000,-0.977,0.02102719,0.02117000,0.02128000,292.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02149000,0.02249000,0.01721000,746825.00000000,15703.63123000,1687750481920,1687836881920,432707,432976,270
DARUSD,0.00000000,0.000,0.10000000,0.10000000,0.10000000,142.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.10000000,0.10000000,0.10000000,142.00000000,14.20000000,1687750272217,1687836672217,12415,12416,2
RNDRUSD,0.03600000,1.816,2.02677611,1.98200000,2.01800000,9.28000000,0.00000000,0.00000000,0.00000000,0.00000000,1.98200000,2.09200000,1.96200000,5115.87000000,10368.72309000,1687750505224,1687836905224,549014,549262,249
SYSUSD,0.00000000,0.000,0.13044420,0.13420000,0.13040000,91.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.13040000,0.13050000,0.13040000,2792.00000000,364.20020000,1687750378303,1687836778303,40267,40271,5
RADUSD,0.02500000,1.558,1.62364544,1.64500000,1.63000000,5.80000000,0.00000000,0.00000000,0.00000000,0.00000000,1.60500000,1.65400000,1.59500000,58.10000000,94.33380000,1687750376279,1687836776279,53402,53415,14
ILVUSD,0.00000000,0.000,40.50000000,48.00000000,40.50000000,3.53400000,0.00000000,0.00000000,0.00000000,0.00000000,40.50000000,40.50000000,40.50000000,3.53400000,143.12700000,1687750372216,1687836772216,48073,48074,2
LDOUSD,-0.02600000,-1.392,1.87912624,1.83300000,1.84200000,10.20000000,0.00000000,0.00000000,0.00000000,0.00000000,1.86800000,1.91300000,1.84200000,549.59000000,1032.74899000,1687750450167,1687836850167,148981,149017,37
RAREUSD,-0.00090000,-1.339,0.06667121,0.06610000,0.06630000,185.90000000,0.00000000,0.00000000,0.00000000,0.00000000,0.06720000,0.06720000,0.06630000,316.40000000,21.09477000,1687750223473,1687836623473,17285,17286,2
LSKUSD,-0.15500000,-18.607,0.73332884,0.75100000,0.67800000,21.60000000,0.00000000,0.00000000,0.00000000,0.00000000,0.83300000,0.83300000,0.67800000,37.10000000,27.20650000,1687750357857,1687836757857,10387,10393,7
DGBUSD,0.00010000,1.471,0.00666790,0.00680000,0.00690000,11625.10000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00680000,0.00690000,0.00650000,73705.00000000,491.45782000,1687750349615,1687836749615,43384,43392,9
REEFUSD,0.00000000,0.000,0.00000000,0.00150000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1687750296620,1687836696620,-1,-1,0
ALICEUSD,0.00000000,0.000,0.00000000,0.90000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1687750229562,1687836629562,-1,-1,0
